Product Type,Product Category,Item Code,Product Name,Branch,Hsn Code,Base Unit,Base Qty,Conv Unit,Conv Qty,Product Material,Product Valuation,Product Barcode,Net weight,Making time,Lead time,Gst type,Sale rate,Purchase Rate,Weight,Minimum stock,Maximum stock,Grn required,Reorder qty,Self life days,Warranty period,Model no,Item type,Material Center,Stock Count,Bom required,Item Status,Batch wise stock manage
RAW MATERIAL,primary,RM00001,COIL (SS304) 1250x3 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00002,COIL (SS304) 1250x2.6 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00003,COIL (SS304) 1250x2 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00004,COIL (SS304) 1500x2.6 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00005,COIL (SS304) 1500x2 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00006,COIL (SS304) 1500x3 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00007,CHANNEL (MS) 75x40,BRANCH 1,7303,MTRS,1,KGS,6.8,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00008,CHANNEL (MS) 100x50,BRANCH 1,7303,MTRS,1,KGS,9.2,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00009,ROUND PIPE (MS) O.D. 48x3 MM THK.,BRANCH 1,7303,MTRS,1,KGS,3.34,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00010,ROUND PIPE (MS) O.D. 48x5 MM THK.,BRANCH 1,7303,MTRS,1,KGS,5.3,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00011,ROUND PIPE (MS) O.D. 60x4 MM THK.,BRANCH 1,7303,MTRS,1,KGS,5.52,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00012,ROUND PIPE (MS) O.D. 80x2 MM THK.,BRANCH 1,7303,MTRS,1,KGS,3.85,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00013,ROUND PIPE (MS) O.D. 105 x I.D. 55  MMTHK.,BRANCH 1,7303,MTRS,1,KGS,49.8,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
RAW MATERIAL,primary,RM00014,ROUND PIPE (MS) O.D. 168x3 MM THK.,BRANCH 1,7303,MTRS,1,KGS,12.21,,,,,,,excluding,,,,,,yes,,,,,,,yes,no,,
