Product Type,Product Category,Item Code,Product Name,Branch,Hsn Code,Base Unit,Base Qty,Conv Unit,Conv Qty,Product Material,Product Valuation,Product Barcode,Net weight,Making time,Lead time,Gst type,Sale rate,Purchase Rate,Weight,Minimum stock,Maximum stock,Grn required,Reorder qty,Self life days,Warranty period,Model no,Item type,Material Center,Stock Count,Bom required,Item Status,Batch wise stock manage
Finish Product,LASER CUTTING,FP00001,UPS 3200B,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00002,UBS 3200 AUTO,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00003,UBS 3200 MANUAL,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00004,UPS 3200A,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00005,UPS 3200C,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00006,UPS 3200A+/HEAVY SLIDER,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00007,UPS 3200A++,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00008,EXPERT 2300,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00009,EXPERT 2600,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00010,EXPERT 3600,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00011,EXPERT 3800/NC,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00012,EXPERT 3800/PUR,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
Finish Product,LASER CUTTING,FP00013,EXPERT 4600 WOOD,BRANCH 1,1212,NOS,1,NOS,1,,1,,1,1,1,excluding,1,1,1,1,1,YES,1,1 days,1 days,12,,,YES,YES,,NO
