Sr. No.,Item Description,Qty ,Unit,,
main,036 LILAC 0.45 X 22,1,NOS,inhouse,FINAL ASSEMBLY
1,FRAME ASSEMBLY-MBM,1,NOS,inhouse,FINAL ASSEMBLY
1.1,MS FLAT ?40 X 25 (POLISH),1,NOS,,
