Sr. No.,Item Description,Qty ,Unit,,,,,,,,
main,CM 65/132 Conical Twin Screw and Barrel Nitriding type New Supply,1,NOS,inhouse,ASSEMBLY,,,,,,
1,CM 65/132 Conical Twin Screw T.C coated,1,NOS,inhouse,CUTTING,Outside,TOUGHNING,inhouse,CENTRE TURNING ,inhouse,STRAIGHTENING (B/T)
1.1,Dia 100 mm D2 Round bar,1000,MM,,,,,,,,
